Desembolso,Vencimiento,Saldo$,FechaReporte,PE_30.04.2024,PD_MAX_2024_04_30,LGD_MAX_2024_04_30,PlazoRestante(Dias),Reserva Especifica$,Ab_24,Tasa_Propuesta,bps%,IntAnual_TasaPropuesta,Tasa_Costo_Oportunidad,FTP,TIR,Código Moneda,Status Mora,SegmentoComercial,Nuevo,Brecha_encoded,Saldo$_capp,PE_30.04.2024_capp,PD_MAX_2024_04_30_capp,PlazoRestante(Dias)_capp,Reserva Especifica$_capp,Ab_24_capp,Tasa_Propuesta_capp,IntAnual_TasaPropuesta_capp,FTP_capp,TIR_capp,Saldo$_capp_cuad,PE_30.04.2024_capp_cuad,PlazoRestante(Dias)_capp_cuad,Reserva Especifica$_capp_cuad,Tasa_Propuesta_capp_cuad,IntAnual_TasaPropuesta_capp_cuad,FTP_capp_cuad,FTP_capp_log,FTP_capp_inv,FTP_capp_BC,FTP_capp_YJ,TIR_capp_cuad,TIR_capp_cuad_minMaxScaled,Saldo$_capp_cuad_minMaxScaled,FTP_capp_cuad_minMaxScaled,Tasa_Propuesta_capp_cuad_minMaxScaled,Reserva Especifica$_capp_cuad_minMaxScaled,PE_30.04.2024_capp_cuad_minMaxScaled,PlazoRestante(Dias)_capp_cuad_minMaxScaled
2023-03-23,2026-03-31,320.8810806,2024-04-30,0.0,0.008578982,0.009,700,0.0,0.16,0.16,0.0,51.3409729,0.065,0.076303761,0.212354617,2667,2781,3,2777,1,320.8810806,0.0,0.008578982,700.0,0.0,0.16,0.16,51.3409729,0.076303761,0.16260682262499998,102964.66788702371,0.0,490000.0,0.0,0.0256,2635.895498318534,0.005822263942745121,-2.573033049639184,13.10551389465586,-431.4395925225772,-431.4395925225772,0.026440978764198205,0.47857526317517673,6.173211810017776e-05,0.8416416650153575,0.658110526456369,0.0,0.0,0.08097165991902834
2020-10-19,2024-10-31,318.5315666,2024-04-30,0.845341477,0.004808904,0.55,184,11.3165256,0.13,0.13,0.0,41.40910366,0.065,0.075437662,0.139254191,2667,2781,1,2777,0,318.5315666,0.131215753625,0.008578982,184.0,11.3165256,0.13,0.13,41.40910366,0.075437662,0.139254191,101462.35892065025,0.017217573999376696,33856.0,128.06375165545538,0.016900000000000002,1714.7138659246255,0.005690840848026245,-2.584448632653619,13.255978161147146,-445.21872412637015,-445.21872412637015,0.01939172971106448,0.3138317030614471,6.128011115899315e-05,0.8313568398555266,0.5299019738775074,5.692923856636783e-05,8.418224470321489e-06,0.02128397917871602
2023-07-24,2026-07-31,316.2862753,2024-04-30,0.0,0.008578982,0.009,822,0.0,0.16,0.16,0.0,50.60580405,0.065,0.076508536,0.21450884,2667,2781,3,2777,1,316.2862753,0.0,0.008578982,822.0,0.0,0.16,0.16,50.60580405,0.076508536,0.16260682262499998,100037.00794314739,0.0,675684.0,0.0,0.0256,2560.9474035469966,0.005853556080863296,-2.5703529626750754,13.070437003264576,-428.266861159029,-428.266861159029,0.026440978764198205,0.4834301509743105,6.084815491077269e-05,0.844073344387005,0.658110526456369,0.0,0.0,0.09508386350491614
2023-07-07,2026-07-31,316.2862753,2024-04-30,0.0,0.008578982,0.009,822,0.0,0.16,0.16,0.0,50.60580405,0.065,0.076508536,0.21450884,2667,2781,3,2777,1,316.2862753,0.0,0.008578982,822.0,0.0,0.16,0.16,50.60580405,0.076508536,0.16260682262499998,100037.00794314739,0.0,675684.0,0.0,0.0256,2560.9474035469966,0.005853556080863296,-2.5703529626750754,13.070437003264576,-428.266861159029,-428.266861159029,0.026440978764198205,0.4834301509743105,6.084815491077269e-05,0.844073344387005,0.658110526456369,0.0,0.0,0.09508386350491614
2023-07-07,2026-07-31,316.2862753,2024-04-30,0.0,0.008578982,0.009,822,0.0,0.16,0.16,0.0,50.60580405,0.065,0.076508536,0.21450884,2667,2781,3,2777,1,316.2862753,0.0,0.008578982,822.0,0.0,0.16,0.16,50.60580405,0.076508536,0.16260682262499998,100037.00794314739,0.0,675684.0,0.0,0.0256,2560.9474035469966,0.005853556080863296,-2.5703529626750754,13.070437003264576,-428.266861159029,-428.266861159029,0.026440978764198205,0.4834301509743105,6.084815491077269e-05,0.844073344387005,0.658110526456369,0.0,0.0,0.09508386350491614
2022-12-08,2025-12-31,315.6364918,2024-04-30,0.0,0.008578982,0.009,610,0.0,0.16,0.16,0.0,50.50183869,0.065,0.076152697,0.214818117,2667,2781,3,2777,1,315.6364918,0.0,0.008578982,610.0,0.0,0.16,0.16,50.50183869,0.076152697,0.16260682262499998,99626.39495581145,0.0,372100.0,0.0,0.0256,2550.435711070781,0.00579923326037381,-2.5750147833278816,13.131511284491998,-433.8006947963224,-433.8006947963224,0.026440978764198205,0.4841271564068273,6.0723147504020806e-05,0.8398477975383778,0.658110526456369,0.0,0.0,0.07056101792943899
2021-12-15,2024-12-31,315.4190396,2024-04-30,0.016735523,0.005889272,0.009,245,10.80441904,0.13,0.13,0.0,41.00447514,0.065,0.07554005,0.140461595,2667,2781,3,2777,0,315.4190396,0.016735523,0.008578982,245.0,10.80441904,0.13,0.13,41.00447514,0.07554005,0.140461595,99489.17054218637,0.00028007773008352895,60025.0,116.73547079191454,0.016900000000000002,1681.3669815068777,0.0057062991540025,-2.5830922997970656,13.23801083001666,-443.55881983198043,-443.55881983198043,0.019729459669944025,0.3165527820529096,6.0681313361395626e-05,0.8325726854787922,0.5299019738775074,5.4353020603706044e-05,1.666585552411361e-07,0.02834008097165992
2021-06-08,2024-06-30,314.5363634,2024-04-30,0.006303468,0.002217821,0.009,61,14.43677285,0.13,0.13,0.0,40.88972725,0.065,0.075231209,0.0,2667,2781,3,2777,0,314.5363634,0.006303468,0.008578982,61.0,14.43677285,0.13,0.13,40.88972725,0.075231209,0.0,98933.12390089687,3.9733708827023993e-05,3721.0,208.42041032249713,0.016900000000000002,1671.9697945793926,0.00565973480760168,-2.58718912082267,13.292355835993545,-448.59154605609655,-448.59154605609655,0.0,0.0,6.051150131974852e-05,0.8289052344285225,0.5299019738775074,7.262604396053432e-05,6.277227606742459e-08,0.007056101792943898
2022-05-13,2025-05-31,314.0062431,2024-04-30,0.0,0.008578982,0.009,396,0.0,0.13,0.13,0.0,40.8208116,0.065,0.075793501,0.140942791,2667,2781,3,2777,1,314.0062431,0.0,0.008578982,396.0,0.0,0.13,0.13,40.8208116,0.075793501,0.140942791,98599.9207057763,0.0,156816.0,0.0,0.016900000000000002,1666.3386596826945,0.0057446547938370006,-2.5797427287958707,13.193743352744717,-439.48599848048343,-439.48599848048343,0.019864870334869684,0.317637234586093,6.0409515098230844e-05,0.8355823867041536,0.5299019738775074,0.0,0.0,0.045806824754193176
2023-08-28,2026-08-31,312.6436279,2024-04-30,0.0,0.008578982,0.009,853,0.0,0.13,0.13,0.0,40.64367162,0.065,0.076560569,0.202907232,2667,2781,3,2777,1,312.6436279,0.0,0.008578982,853.0,0.0,0.13,0.13,40.64367162,0.076560569,0.16260682262499998,97746.03806647367,0.0,727609.0,0.0,0.016900000000000002,1651.9080427543934,0.0058615207256037605,-2.5696730997856414,13.061553918179476,-427.4657418708068,-427.4657418708068,0.026440978764198205,0.45728406251014847,6.014737087241918e-05,0.844691230226316,0.5299019738775074,0.0,0.0,0.09866975130133025
